Date,Game,Games_Calc,Games_Calc_(avg_earnings),Subset_Game_Labels,Earnings,Players,Tournaments
1/1/1998,Command & Conquer: Red Alert,Others,Others,Others,15000,8,1
1/1/1998,QuakeWorld,Others,Others,Others,15000,8,1
5/1/1998,Quake II,Others,Others,Others,15000,4,1
5/1/1998,Total Annihilation,Others,Others,Others,15000,2,1
5/1/1998,QuakeWorld,Others,Others,Others,300,3,1
7/1/1998,Quake II,Others,Others,Others,6500,4,1
11/1/1998,Quake II,Others,Others,Others,35000,13,2
11/1/1998,QuakeWorld,Others,Others,Others,30000,17,1
11/1/1998,StarCraft: Brood War,Others,Others,Others,20000,8,1
12/1/1998,Age of Empires,Others,Others,Others,2000,1,1
3/1/1999,Quake II,Others,Others,Others,15000,5,1
4/1/1999,StarCraft: Brood War,Others,Others,Others,3000,2,1
5/1/1999,StarCraft: Brood War,Others,Others,Others,30500,8,1
5/1/1999,Quake II,Others,Others,Others,27400,8,1
8/1/1999,Descent 3,Others,Others,Others,50000,1,1
8/1/1999,StarCraft: Brood War,Others,Others,Others,49498.86,9,2
9/1/1999,StarCraft: Brood War,Others,Others,Others,34666.16,15,3
9/1/1999,Quake III Arena,Others,Others,Others,16400,6,1
10/1/1999,Quake III Arena,Others,Others,Others,26800,12,1
12/1/1999,StarCraft: Brood War,Others,Others,Others,32054.1,15,4
1/1/2000,Age of Empires II,Others,Others,Others,35335.86,2,1
1/1/2000,StarCraft: Brood War,Others,Others,Others,23820.16,15,3
2/1/2000,Quake III Arena,Others,Others,Others,4000,3,1
2/1/2000,Age of Empires II,Others,Others,Others,450,5,1
4/1/2000,Quake III Arena,Others,Others,Others,110927.63,43,8
4/1/2000,Age of Empires,Others,Others,Others,9500,4,1
4/1/2000,Age of Empires II,Others,Others,Others,5015,1,1
5/1/2000,StarCraft: Brood War,Others,Others,Others,25168.48,3,1
5/1/2000,Quake III Arena,Others,Others,Others,12300,5,2
5/1/2000,Age of Empires II,Others,Others,Others,225,0,2
6/1/2000,Quake III Arena,Others,Others,Others,6970,9,2
6/1/2000,StarCraft: Brood War,Others,Others,Others,4494.37,1,1
6/1/2000,Age of Empires II,Others,Others,Others,1006.8,5,2
7/1/2000,Quake III Arena,Others,Others,Others,23170,6,2
7/1/2000,Marvel vs. Capcom 2,Others,Others,Others,0,3,1
7/1/2000,Street Fighter Alpha 2,Others,Others,Others,0,3,1
7/1/2000,Street Fighter Alpha 3,Others,Others,Others,0,3,1
7/1/2000,Street Fighter III: 3rd Strike,Others,Others,Others,0,3,1
7/1/2000,Super Street Fighter II Turbo,Others,Others,Others,0,3,1
8/1/2000,Quake III Arena,Others,Others,Others,21535,15,2
8/1/2000,StarCraft: Brood War,Others,Others,Others,12853.9,4,1
8/1/2000,Age of Empires II,Others,Others,Others,9192,9,3
9/1/2000,Quake III Arena,Others,Others,Others,52059.98,11,5
9/1/2000,Age of Empires II,Others,Others,Others,12378.11,11,3
9/1/2000,StarCraft: Brood War,Others,Others,Others,6292.12,1,2
10/1/2000,Quake III Arena,Others,Others,Others,75000,5,3
10/1/2000,Age of Empires II,Others,Others,Others,50000,4,1
10/1/2000,FIFA 2000,Others,Others,Others,50000,4,1
10/1/2000,StarCraft: Brood War,Others,Others,Others,50000,4,1
10/1/2000,Doom II: Hell on Earth,Others,Others,Others,0,3,1
11/1/2000,StarCraft: Brood War,Others,Others,Others,17600,16,1
12/1/2000,Quake III Arena,Others,Others,Others,126560.21,79,4
12/1/2000,Counter-Strike,Others,Others,Others,23763.33,62,2
12/1/2000,Age of Empires II,Others,Others,Others,165.53,5,2
1/1/2001,Quake III Arena,Others,Others,Others,19055.71,12,3
1/1/2001,StarCraft: Brood War,Others,Others,Others,5257,7,2
1/1/2001,Counter-Strike,Others,Others,Others,4720.77,35,1
1/1/2001,Age of Empires II,Others,Others,Others,1200,6,2
2/1/2001,Quake III Arena,Others,Others,Others,3750,8,1
3/1/2001,Age of Empires II,Others,Others,Others,1641.29,12,5
4/1/2001,Counter-Strike,Others,Others,Others,43711.29,41,2
4/1/2001,Quake III Arena,Others,Others,Others,2272.23,8,3
4/1/2001,Age of Empires II,Others,Others,Others,200,2,1
5/1/2001,StarCraft: Brood War,Others,Others,Others,18427.34,16,2
5/1/2001,Quake III Arena,Others,Others,Others,15841.68,16,2
5/1/2001,Counter-Strike,Others,Others,Others,13131,41,1
5/1/2001,Age of Empires II,Others,Others,Others,500,1,1
6/1/2001,Age of Empires II,Others,Others,Others,500,4,1
7/1/2001,QuakeWorld,Others,Others,Others,15000,8,1
7/1/2001,Counter-Strike,Others,Others,Others,1800,16,2
8/1/2001,Quake III Arena,Others,Others,Others,58197.36,3,2
8/1/2001,Counter-Strike,Others,Others,Others,13197.36,41,1
8/1/2001,Age of Empires II,Others,Others,Others,500,1,1
8/1/2001,Capcom vs. SNK,Others,Others,Others,0,3,1
8/1/2001,Marvel vs. Capcom 2,Others,Others,Others,0,3,1
8/1/2001,Street Fighter Alpha 3,Others,Others,Others,0,3,1
8/1/2001,Super Street Fighter II Turbo,Others,Others,Others,0,3,1
9/1/2001,Counter-Strike,Others,Others,Others,22792.51,41,1
9/1/2001,StarCraft: Brood War,Others,Others,Others,14051.52,16,1
10/1/2001,Quake III Arena,Others,Others,Others,28000,15,2
10/1/2001,Counter-Strike,Others,Others,Others,22000,15,2
10/1/2001,StarCraft: Brood War,Others,Others,Others,13057.6,4,1
11/1/2001,Age of Empires II,Others,Others,Others,95000,16,1
11/1/2001,Counter-Strike,Others,Others,Others,5239.51,5,1
11/1/2001,Quake III Arena,Others,Others,Others,2619.76,8,1
12/1/2001,Counter-Strike,Others,Others,Others,220000,109,2
12/1/2001,Age of Empires II,Others,Others,Others,61000,20,5
12/1/2001,StarCraft: Brood War,Others,Others,Others,59568.55,24,3
12/1/2001,FIFA 2001,Others,Others,Others,46000,9,2
12/1/2001,Quake III Arena,Others,Others,Others,46000,8,2
12/1/2001,Unreal Tournament,Others,Others,Others,46000,9,2
12/1/2001,Aliens versus Predator 2,Others,Others,Others,40000,1,1
1/1/2002,Age of Empires II,Others,Others,Others,1000,1,1
2/1/2002,Age of Empires II,Others,Others,Others,1000,1,1
3/1/2002,Counter-Strike,Others,Others,Others,1035,17,1
3/1/2002,Age of Empires II,Others,Others,Others,1000,1,1
4/1/2002,StarCraft: Brood War,Others,Others,Others,20338.4,6,2
4/1/2002,Age of Empires II,Others,Others,Others,5500,4,2
4/1/2002,Super Smash Bros. Melee,Others,Others,Others,0,3,1
5/1/2002,Counter-Strike,Others,Others,Others,18411.62,42,1
5/1/2002,Quake III Arena,Others,Others,Others,11785.22,17,2
5/1/2002,StarCraft: Brood War,Others,Others,Others,4913.16,1,1
5/1/2002,Aliens versus Predator 2,Others,Others,Others,3500,1,1
5/1/2002,Age of Empires II,Others,Others,Others,2000,4,2
6/1/2002,StarCraft: Brood War,Others,Others,Others,28808.28,19,2
6/1/2002,Age of Empires II,Others,Others,Others,3932.57,4,2
6/1/2002,Super Smash Bros. Melee,Others,Others,Others,40,3,1
7/1/2002,Counter-Strike,Others,Others,Others,112100.15,169,3
7/1/2002,Age of Empires II,Others,Others,Others,16450,9,4
7/1/2002,Quake III Arena,Others,Others,Others,9540.3,12,1
7/1/2002,StarCraft: Brood War,Others,Others,Others,2000,3,1
8/1/2002,Return to Castle Wolfenstein,Others,Others,Others,53000,30,1
8/1/2002,Quake III Arena,Others,Others,Others,40000,5,1
8/1/2002,Age of Empires II,Others,Others,Others,8850,14,8
8/1/2002,Capcom vs. SNK 2,Others,Others,Others,0,3,1
8/1/2002,Marvel vs. Capcom 2,Others,Others,Others,0,3,1
8/1/2002,Super Street Fighter II Turbo,Others,Others,Others,0,3,1
9/1/2002,WarCraft III,Others,Others,Others,31932.4,16,1
9/1/2002,Counter-Strike,Others,Others,Others,31856.64,21,2
9/1/2002,Age of Empires II,Others,Others,Others,6618.95,11,5
9/1/2002,Quake III Arena,Others,Others,Others,6000,3,1
9/1/2002,Age of Empires,Others,Others,Others,100,3,1
10/1/2002,StarCraft: Brood War,Others,Others,Others,45800.51,18,3
10/1/2002,Counter-Strike,Others,Others,Others,9791.02,40,1
10/1/2002,Age of Empires II,Others,Others,Others,1000,1,1
10/1/2002,WarCraft III,Others,Others,Others,642,3,1
11/1/2002,Counter-Strike,Others,Others,Others,86000,55,2
11/1/2002,Age of Empires II,Others,Others,Others,44000,9,2
11/1/2002,FIFA 2002 World Cup,Others,Others,Others,43000,8,1
11/1/2002,Quake III Arena,Others,Others,Others,43000,8,1
11/1/2002,StarCraft: Brood War,Others,Others,Others,43000,8,1
11/1/2002,Unreal Tournament,Others,Others,Others,43000,8,1
11/1/2002,Halo: Combat Evolved,Others,Others,Others,5000,21,2
11/1/2002,Unreal Tournament 2003,Others,Others,Others,4000,8,4
11/1/2002,WarCraft III,Others,Others,Others,106,1,1
12/1/2002,Counter-Strike,Others,Others,Others,141800.45,145,4
12/1/2002,WarCraft III,Others,Others,Others,43808.35,31,5
12/1/2002,Unreal Tournament 2003,Others,Others,Others,30000,16,1
12/1/2002,Return to Castle Wolfenstein,Others,Others,Others,14424.3,0,1
12/1/2002,NASCAR Thunder 2002,Others,Others,Others,7679.25,0,1
12/1/2002,Star Wars Jedi Knight II: Jedi Outcast,Others,Others,Others,7679.25,0,1
12/1/2002,Age of Empires II,Others,Others,Others,5950,13,2
12/1/2002,Quake III Arena,Others,Others,Others,553.06,3,1
12/1/2002,StarCraft: Brood War,Others,Others,Others,553.06,3,1
1/1/2003,Age of Empires II,Others,Others,Others,10500,16,3
1/1/2003,WarCraft III,Others,Others,Others,9185,16,1
1/1/2003,StarCraft: Brood War,Others,Others,Others,6051.2,6,1
1/1/2003,Super Smash Bros. Melee,Others,Others,Others,2050,7,2
1/1/2003,Counter-Strike,Others,Others,Others,1280,30,2
2/1/2003,StarCraft: Brood War,Others,Others,Others,29137.55,16,1
2/1/2003,Counter-Strike,Others,Others,Others,2666.67,32,3
2/1/2003,Age of Empires II,Others,Others,Others,380,4,2
3/1/2003,Counter-Strike,Others,Others,Others,22817.54,65,4
3/1/2003,Halo: Combat Evolved,Others,Others,Others,12500,0,1
3/1/2003,Super Smash Bros. Melee,Others,Others,Others,12500,3,1
3/1/2003,Tekken 4,Others,Others,Others,12500,0,1
3/1/2003,Unreal Tournament 2003,Others,Others,Others,12500,0,1
3/1/2003,WarCraft III,Others,Others,Others,8081.27,6,1
4/1/2003,Counter-Strike,Others,Others,Others,51906.6,40,3
4/1/2003,WarCraft III,Others,Others,Others,16000.63,5,2
4/1/2003,Unreal Tournament 2003,Others,Others,Others,15199.05,0,1
4/1/2003,Halo: Combat Evolved,Others,Others,Others,14950,32,5
4/1/2003,Quake III Arena,Others,Others,Others,8663.46,3,2
4/1/2003,StarCraft: Brood War,Others,Others,Others,7265.55,2,2
4/1/2003,Age of Mythology,Others,Others,Others,2434.22,6,2
4/1/2003,Age of Empires II,Others,Others,Others,1980,5,3
5/1/2003,Counter-Strike,Others,Others,Others,20355.3,52,6
5/1/2003,Age of Empires II,Others,Others,Others,760,6,4
5/1/2003,Age of Empires,Others,Others,Others,625,4,1
6/1/2003,Counter-Strike,Others,Others,Others,60804.35,63,5
6/1/2003,StarCraft: Brood War,Others,Others,Others,44018,40,2
6/1/2003,WarCraft III,Others,Others,Others,27887.45,4,1
6/1/2003,Age of Mythology,Others,Others,Others,18445.97,3,2
6/1/2003,NASCAR Thunder 2003,Others,Others,Others,5933.5,0,1
6/1/2003,Age of Empires II,Others,Others,Others,380,4,2
7/1/2003,Counter-Strike,Others,Others,Others,135189.2,127,6
7/1/2003,StarCraft: Brood War,Others,Others,Others,46020.6,28,3
7/1/2003,Unreal Tournament 2003,Others,Others,Others,25617.5,9,3
7/1/2003,WarCraft III,Others,Others,Others,24062,21,6
7/1/2003,Quake III Arena,Others,Others,Others,10000,4,1
7/1/2003,Age of Mythology,Others,Others,Others,2200,5,2
7/1/2003,Age of Empires II,Others,Others,Others,200,1,1
8/1/2003,Counter-Strike,Others,Others,Others,218835.22,126,5
8/1/2003,Quake III Arena,Others,Others,Others,70800,23,3
8/1/2003,Return to Castle Wolfenstein,Others,Others,Others,46000,24,1
8/1/2003,Age of Mythology,Others,Others,Others,12951,14,3
8/1/2003,WarCraft III,Others,Others,Others,12832.68,9,4
8/1/2003,Unreal Tournament 2003,Others,Others,Others,9457.36,3,1
8/1/2003,Age of Empires II,Others,Others,Others,7000,8,1
8/1/2003,FIFA 03,Others,Others,Others,5066.44,3,1
8/1/2003,Super Smash Bros. Melee,Others,Others,Others,1000,1,1
8/1/2003,Capcom vs. SNK 2,Others,Others,Others,0,3,1
8/1/2003,Guilty Gear XX,Others,Others,Others,0,3,1
8/1/2003,Marvel vs. Capcom 2,Others,Others,Others,0,3,1
8/1/2003,Soul Calibur II,Others,Others,Others,0,3,1
8/1/2003,Street Fighter III: 3rd Strike,Others,Others,Others,0,3,1
8/1/2003,Super Street Fighter II Turbo,Others,Others,Others,0,3,1
8/1/2003,Tekken 4,Others,Others,Others,0,3,1
8/1/2003,Tekken Tag Tournament,Others,Others,Others,0,3,1
8/1/2003,Virtua Fighter 4: Evolution,Others,Others,Others,0,3,1
9/1/2003,Counter-Strike,Others,Others,Others,52342.44,51,5
9/1/2003,WarCraft III,Others,Others,Others,18413.13,23,8
9/1/2003,StarCraft: Brood War,Others,Others,Others,2329.2,4,1
9/1/2003,Day of Defeat,Others,Others,Others,880.41,6,1
10/1/2003,Counter-Strike,Others,Others,Others,91213.18,90,7
10/1/2003,StarCraft: Brood War,Others,Others,Others,90848.8,58,3
10/1/2003,WarCraft III,Others,Others,Others,52623.23,17,7
10/1/2003,Age of Mythology,Others,Others,Others,51661.98,13,3
10/1/2003,FIFA 03,Others,Others,Others,49000,7,2
10/1/2003,Unreal Tournament 2003,Others,Others,Others,49000,8,2
10/1/2003,Halo: Combat Evolved,Others,Others,Others,40700,14,3
10/1/2003,Gran Turismo 3: A-Spec,Others,Others,Others,1500,3,1
10/1/2003,Madden NFL 2004,Others,Others,Others,1500,3,1
10/1/2003,Soul Calibur II,Others,Others,Others,1500,3,1
10/1/2003,Age of Empires II,Others,Others,Others,1000,4,1
11/1/2003,StarCraft: Brood War,Others,Others,Others,73973.75,27,3
11/1/2003,WarCraft III,Others,Others,Others,68967.94,47,10
11/1/2003,Counter-Strike,Others,Others,Others,51610.64,124,12
11/1/2003,Halo: Combat Evolved,Others,Others,Others,9000,32,2
11/1/2003,Age of Empires II,Others,Others,Others,3347.02,7,2
11/1/2003,Age of Mythology,Others,Others,Others,1600,4,1
12/1/2003,Counter-Strike,Others,Others,Others,126187.15,121,5
12/1/2003,Halo: Combat Evolved,Others,Others,Others,30000,16,1
12/1/2003,WarCraft III,Others,Others,Others,12028.52,4,1
12/1/2003,Live for Speed,Others,Others,Others,2491.62,5,1
12/1/2003,Age of Empires II,Others,Others,Others,2150,15,2
12/1/2003,FIFA 04,Others,Others,Others,0,0,1
1/1/2004,StarCraft: Brood War,Others,Others,Others,102004.09,19,3
1/1/2004,WarCraft III,Others,Others,Others,91660,31,6
1/1/2004,Counter-Strike,Others,Others,Others,77529.3,93,6
1/1/2004,Age of Empires II,Others,Others,Others,5900,14,4
1/1/2004,Age of Mythology,Others,Others,Others,5228,12,3
1/1/2004,Super Smash Bros. Melee,Others,Others,Others,1682.5,6,3
2/1/2004,StarCraft: Brood War,Others,Others,Others,38128.9,46,1
2/1/2004,Counter-Strike,Others,Others,Others,13614.55,50,4
2/1/2004,Halo: Combat Evolved,Others,Others,Others,13500,20,3
2/1/2004,WarCraft III,Others,Others,Others,1600,4,1
3/1/2004,WarCraft III,Others,Others,Others,60550,28,2
3/1/2004,StarCraft: Brood War,Others,Others,Others,60365.89,16,1
3/1/2004,Counter-Strike,Others,Others,Others,30220.45,125,7
3/1/2004,Quake III Arena,Others,Others,Others,1500,8,1
3/1/2004,Halo: Combat Evolved,Others,Others,Others,825,8,2
4/1/2004,Counter-Strike,Others,Others,Others,42681.96,84,7
4/1/2004,StarCraft: Brood War,Others,Others,Others,39368.63,7,2
4/1/2004,WarCraft III,Others,Others,Others,35703.38,24,5
4/1/2004,Halo: Combat Evolved,Others,Others,Others,20235,41,5
4/1/2004,Age of Mythology,Others,Others,Others,150,2,1
5/1/2004,Counter-Strike,Others,Others,Others,40662.88,109,11
5/1/2004,WarCraft III,Others,Others,Others,15673.72,20,11
5/1/2004,Age of Empires II,Others,Others,Others,300,2,1
6/1/2004,Counter-Strike,Others,Others,Others,57327.74,158,10
6/1/2004,WarCraft III,Others,Others,Others,28285.85,25,9
6/1/2004,Age of Empires II,Others,Others,Others,25000,40,1
6/1/2004,FIFA 04,Others,Others,Others,0,0,1
