Market_(Revenue_%_Change_by_Market),Year_(Revenue_%_Change_by_Market),Percentage_Change
Media Rights,1/1/2018,69.5
Media Rights,1/1/2019,44.9
Media Rights,1/1/2020,33.8
Media Rights,1/1/2021,24.5
Media Rights,1/1/2022,21.1
Media Rights,1/1/2023,18.6
Media Rights,1/1/2024,15.3
Media Rights,1/1/2025,13.9
Media Rights,1/1/2026,9.1
Media Rights,1/1/2027,8.5
Media Rights,1/1/2028,7.9
Media Rights,1/1/2029,7.3
Publisher Fees,1/1/2018,2.7
Publisher Fees,1/1/2019,3.3
Publisher Fees,1/1/2020,3.9
Publisher Fees,1/1/2021,4.4
Publisher Fees,1/1/2022,4.6
Publisher Fees,1/1/2023,4.6
Publisher Fees,1/1/2024,4.3
Publisher Fees,1/1/2025,3.9
Publisher Fees,1/1/2026,3.3
Publisher Fees,1/1/2027,2.8
Publisher Fees,1/1/2028,2.7
Publisher Fees,1/1/2029,2.6
Merchandise & Ticketing,1/1/2018,20.5
Merchandise & Ticketing,1/1/2019,22.6
Merchandise & Ticketing,1/1/2020,-35.3
Merchandise & Ticketing,1/1/2021,66.4
Merchandise & Ticketing,1/1/2022,34.6
Merchandise & Ticketing,1/1/2023,16.9
Merchandise & Ticketing,1/1/2024,15.1
Merchandise & Ticketing,1/1/2025,11.8
Merchandise & Ticketing,1/1/2026,9
Merchandise & Ticketing,1/1/2027,6.7
Merchandise & Ticketing,1/1/2028,6.3
Merchandise & Ticketing,1/1/2029,5.9
Streaming,1/1/2018,10.2
Streaming,1/1/2019,13.9
Streaming,1/1/2020,27
Streaming,1/1/2021,20.6
Streaming,1/1/2022,11.4
Streaming,1/1/2023,22.3
Streaming,1/1/2024,18.3
Streaming,1/1/2025,14.4
Streaming,1/1/2026,10.7
Streaming,1/1/2027,7.6
Streaming,1/1/2028,7
Streaming,1/1/2029,6.6
Sponsorship & Advertising,1/1/2018,18.3
Sponsorship & Advertising,1/1/2019,19.5
Sponsorship & Advertising,1/1/2020,19.8
Sponsorship & Advertising,1/1/2021,18.7
Sponsorship & Advertising,1/1/2022,16.2
Sponsorship & Advertising,1/1/2023,13
Sponsorship & Advertising,1/1/2024,9.9
Sponsorship & Advertising,1/1/2025,7.4
Sponsorship & Advertising,1/1/2026,5.6
Sponsorship & Advertising,1/1/2027,4.3
Sponsorship & Advertising,1/1/2028,4.1
Sponsorship & Advertising,1/1/2029,4
Esports Betting,1/1/2018,11.8
Esports Betting,1/1/2019,38.3
Esports Betting,1/1/2020,19.6
Esports Betting,1/1/2021,29.6
Esports Betting,1/1/2022,29.9
Esports Betting,1/1/2023,22.3
Esports Betting,1/1/2024,17.3
Esports Betting,1/1/2025,12
Esports Betting,1/1/2026,7.8
Esports Betting,1/1/2027,4.9
Esports Betting,1/1/2028,4.7
Esports Betting,1/1/2029,4.5
