TeamId,TeamName,TotalUSDPrize,TotalTournaments
102,Team Liquid,54470774.44,2942
419,OG,38718932.44,202
494,Team Spirit,33043964.40,288
101,Evil Geniuses,28567423.99,1019
163,Natus Vincere,23632514.68,839
118,Fnatic,21971958.62,1184
240,FaZe Clan,21118429.08,791
211,Team Secret,20876030.91,434
185,Virtus.pro,20849112.61,716
623,Paris Saint-Germain Esports,19801065.30,179
256,G2 Esports,18340222.17,766
25308,All Gamers,17297812.69,193
227,LGD Gaming,17108840.47,241
169,Vici Gaming,15756478.98,318
124,Invictus Gaming,15251360.43,635
145,T1,15212415.21,515
212,Cloud9,14403554.13,1098
210,Newbee,14230154.91,236
231,OpTic Gaming,13639624.30,422
430,eStar Gaming,13577392.23,143
25133,Tundra Esports,12835714.81,74
196,Team SoloMid,12491688.27,1022
25204,Team Falcons,11999711.49,364
466,Astralis,10790487.86,221
251,Vitality,10715986.00,501
814,Gen.G Esports,10685962.94,248
25167,Wolves Esports,10334620.13,102
846,Nova eSports,9755650.13,137
507,Wings Gaming,9746079.72,28
25315,Weibo Gaming,9090810.95,117
162,Ninjas in Pyjamas,8938430.63,530
311,EDward Gaming,8860492.83,203
261,Alliance,8766049.73,438
111,MOUZ,8764878.66,1354
343,Royal Never Give Up,8725225.71,155
112,SK Gaming,8484990.22,813
25314,Gaimin Gladiators,7908099.66,172
425,NRG Esports,7600418.72,614
216,Team Envy,7503894.43,439
123,World Elite,7010124.84,345
24782,Team BDS,6540117.33,186
24806,Atlanta FaZe,6323000.00,50
104,Complexity Gaming,6219229.58,843
848,Spacestation Gaming,5918243.98,433
192,Gambit Esports,5847051.97,277
317,Luminosity Gaming,5821273.35,512
24680,Hero JiuJing,5798105.55,23
340,Qiao Gu Reapers,5767621.90,30
132,MVP,5761080.77,488
787,100 Thieves,5647472.68,305
558,Heroic,5520538.40,186
144,Samsung,5334245.29,354
207,Counter Logic Gaming,5330803.15,520
571,Lazarus,5323227.77,304
327,ThunderTalk Gaming,5255264.17,38
24708,Talon Esports,5220659.74,214
24687,Sentinels,5209280.68,181
117,Team Dignitas,5172567.97,755
383,Chaos Esports Club,4972689.35,92
963,FURIA Esports,4879166.36,348
561,TnC Gaming,4700745.52,84
843,Four Angry Men,4697773.29,89
25322,Dragon Ranger Gaming,4512607.55,43
385,ENCE,4507787.37,348
24706,FunPlus Phoenix,4462320.94,95
760,San Francisco Shock,4375500.00,16
225,EHOME,4318425.59,129
24784,Soniqs,4257023.11,113
24703,Dplus,4216590.76,124
24780,EVOS Esports,4021000.57,158
115,Team Empire,4010946.69,467
177,KT Rolster,4004576.43,259
663,eUnited,3976306.69,261
382,Splyce,3927592.51,440
24957,Toronto Ultra,3842020.82,67
25319,Qing Jiu Club,3832047.42,112
802,Top Esports,3801664.31,55
25035,BetBoom Team,3786915.07,58
300,CDEC Gaming,3751262.87,56
909,Team Aster,3610967.54,63
797,Rogue Warriors,3580556.69,62
25387,Twisted Minds,3577288.55,281
25214,Tianba,3565039.10,80
24958,New York Subliners,3447548.09,119
221,MIBR,3375639.88,252
24684,Cooler Esport,3338204.54,49
916,JD Gaming,3337989.03,54
25443,BaiSha Gaming,3324343.98,67
658,BIG,3323096.49,539
468,Freecs,3212308.77,722
25666,KuaiShow Gaming,3070039.27,21
25397,w7m esports,3022219.75,113
769,Shanghai Dragons,2972750.00,19
184,Flash Wolves,2969791.20,250
25021,REJECT,2919373.46,75
557,Rogue,2915096.76,257
24781,Rex Regum Qeon,2896656.90,150
830,Ghost Gaming,2870168.13,274
24841,Buriram United Esports,2825838.09,113
24711,Turnso Gaming,2812900.79,10
